Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Full Force Festival,2014-07-04,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",28000,89.95,2518600.0
Rockharz Festival,2014-07-10,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",12000,85.85,1030199.9999999999
Wacken Open Air,2014-07-31,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,170.0,12750000.0
Metal Frenzy Festival,2014-08-14,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1100,59.9,65890.0
Highfield Festival,2014-08-14,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",25000,89.0,2225000.0
Elbriot Festival,2014-08-16,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10500,58.0,609000.0
X Rockfest,2014-08-17,1,outdoor,Metal,"Hardcore(Metal)
Metal",Northrhine-Westphalia,"Parkplatz X Herford Diskothek Bünder Str.82 Herford, DE 32051",7000,38.0,266000.0
Brann Open Air,2015-06-12,2,outdoor,Metal,"Folk
Metal
Rock",Saxony,"Am Flughafen Leipzig/ Halle Leipzig, DE 04435",,49.0,
Metal Frenzy Festival,2015-06-19,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",950,59.9,56905.0
Full Force Festival,2015-07-03,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",25000,91.95,2298750.0
Rockharz Festival,2015-07-09,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",13500,91.35,1233225.0
Wacken Open Air,2015-07-30,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,170.0,12750000.0
Reload Festival,2015-08-07,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",6500,91.0,591500.0
X Rockfest,2015-08-08,1,outdoor,Metal,"Hardcore(Metal)
Metal",Northrhine-Westphalia,"Rathausplatz Herford Herford, DE 32052",,,
Highfield Festival,2015-08-14,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",25000,119.0,2975000.0
Elbriot Festival,2015-08-15,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10500,,
Metal Frenzy Festival,2016-06-16,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1250,59.9,74875.0
Full Force Festival,2016-07-01,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",25000,111.95,2798750.0
Rockharz Festival,2016-07-07,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",13500,91.9,1240650.0
Wacken Open Air,2016-08-04,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,190.0,14250000.0
Highfield Festival,2016-08-19,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",35000,139.0,4865000.0
Elbriot Festival,2016-08-19,2,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",15000,69.9,1048500.0000000001
Reload Festival,2016-08-26,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",10000,79.0,790000.0
Wacken Winter Nights,2017-02-10,3,unknown,Metal,"Folk
Gothic
Metal
Rock",Schleswig-Holstein,"Wacken, DE 25596",,,
Lokifest,2017-03-05,1,indoor,Metal,Metal,Thuringia,"Club From Hell Erfurt Erfurt, DE 99092",200,7.0,1400.0
Rockund Metal Day'z,2017-06-02,3,outdoor,Metal,"Metal
Rock",Saxony-Anhalt,"Motorsportarena Oschersleben Motopark- Allee20 Oschersleben( Bode), DE 39387",300,,
Matapaloz Festival,2017-06-16,2,outdoor,Rock,"Hardcore(Metal)
Metal
Rock",Baden-Württemberg,"Hockenheimring Am Motodrom Hockenheim, DE 68766",100000,127.9,12790000.0
Full Force Festival,2017-06-22,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony-Anhalt,"Ferropolis Ferropolisstraße1 Gräfenhainichen, DE 06773",18000,111.95,2015100.0
Metal Frenzy Festival,2017-06-29,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1450,66.66,96657.0
Rockharz Festival,2017-07-05,4,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",15000,97.9,1468500.0
Deichbrand Festival,2017-07-20,4,outdoor,Mixed,"Germanrock
Electro
Hip-Hop
Metal
Pop
Rock",LowerSaxony,"Seeflughafen Cuxhaven Walter- Carstens- Straße1 Wurster Nordseeküste, DE 27639",55000,129.0,7095000.0
Wacken Open Air,2017-08-03,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,220.0,16500000.0
Highfield Festival,2017-08-18,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",35000,159.0,5565000.0
Elbriot Festival,2017-08-19,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10000,49.9,499000.0
Reload Festival,2017-08-25,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",12000,79.0,948000.0
Wacken Winter Nights,2018-02-23,3,unknown,Metal,"Folk
Gothic
Metal
Rock",Schleswig-Holstein,"Wacken, DE 25596",,,
Lokifest,2018-03-10,1,indoor,Metal,Metal,Thuringia,"Club From Hell Erfurt Erfurt, DE 99092",200,12.0,2400.0
Die Elbebrennt,2018-05-12,1,indoor,Rock,Germanrock,Brandenburg,"AlteÖlmühle Bad Wilsnacker Str.52 Wittenberge, DE 19322",2500,29.0,72500.0
Spectaculum Magdeburgense,2018-05-17,5,outdoor,Medieval,"Folk
Gothic
Art&culture
Medieval",Saxony-Anhalt,"Glacis- Park& Festungsanlage Ravelin2 Maybachstraße1 Magdeburg, DE 39104",16000,19.0,304000.0
Rockund Metal Day'z,2018-05-18,3,outdoor,Metal,"Metal
Rock",Saxony-Anhalt,"Motorsportarena Oschersleben Motopark- Allee20 Oschersleben( Bode), DE 39387",500,,
Full Force Festival,2018-06-14,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony-Anhalt,"Ferropolis Ferropolisstraße1 Gräfenhainichen, DE 06773",,119.95,
Matapaloz Festival,2018-06-22,2,outdoor,Rock,"Metal
Rock",Saxony,"Leipziger Messe Messe- Allee1 Leipzig, DE 04356",40000,129.0,5160000.0
Metal Frenzy Festival,2018-06-28,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1800,66.66,119988.0
Rockharz Festival,2018-07-04,4,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",17000,102.8,1747600.0
Wacken Open Air,2018-08-02,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,220.0,16500000.0
Elbenwald Festival,2018-08-09,3,outdoor,Conventions,"Folk
Gothic
Hardcore(Metal)
Classicalmusic
Metal",LowerSaxony,"Eventpark Luhmühlen Westergellerser Heide Westergellersen, DE 21394",15000,139.0,2085000.0
